FULL_DESCRIPTION,SPORTS_ID,EVENT_ID,SETTLED_DATE,SCHEDULED_OFF,EVENT,DT ACTUAL_OFF,SELECTION_ID,SELECTION,ODDS,NUMBER_BETS,VOLUME_MATCHED,LATEST_TAKEN,FIRST_TAKEN,WIN_FLAG,IN_PLAY
Group A/Medellin Challenger 2014/The Final/A Krajicek v Souza,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403
Group A/Shanghai Challenger 2014/First Round Matches/D Wu v Matsui,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
Group A/Shanghai Challenger 2014/First Round Matches/Duckworth v E Ymer,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Group A/Shanghai Challenger 2014/First Round Matches/Hy Chung v Udomchoke,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
Group A/Shanghai Challenger 2014/First Round Matches/Jor Thompson v Zhe Li,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
Group A/Shanghai Challenger 2014/First Round Matches/Kibi v San Singh,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
Group A/Shanghai Challenger 2014/First Round Matches/L Huang v Uchiyama,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
Group A/Shanghai Challenger 2014/First Round Matches/Millman v Ze Zhang,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
Group A/Shanghai Challenger 2014/First Round Matches/Niki v Takeuchi,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
Group A/Shanghai Challenger 2014/First Round Matches/Soeda v J Jung,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
Group A/Shanghai Challenger 2014/First Round Matches/T Yang v Edmund,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296
Group A/Shanghai Challenger 2014/First Round Matches/Ti Chen v Y Bhambri,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213
Group A/Shanghai Challenger 2014/First Round Matches/Vanni v Statham,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
Group A/Shanghai Challenger 2014/First Round Matches/We Zheng v Fabbiano,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
Group A/Shanghai Challenger 2014/First Round Matches/Y Bai v S Zhong,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Group A/Shanghai Challenger 2014/First Round Matches/Yo Nishioka v Chu Wang,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
Group A/Shanghai Challenger 2014/First Round Matches/Yui Ito v Devvarman,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275
Group A/Shanghai Challenger 2014/Quarter Final Matches/D Wu v Devvarman,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Group A/Shanghai Challenger 2014/Quarter Final Matches/Soeda v Fabbiano,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Group A/Shanghai Challenger 2014/Quarter Final Matches/Vanni v Y Bhambri,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506
Group A/Shanghai Challenger 2014/Quarter Final Matches/Yo Nishioka v Udomchoke,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348
Group A/Shanghai Challenger 2014/Second Round Matches/D Wu v Y Bai,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
Group A/Shanghai Challenger 2014/Second Round Matches/Duckworth v Yo Nishioka,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508
Group A/Shanghai Challenger 2014/Second Round Matches/Jor Thompson v Fabbiano,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226
Group A/Shanghai Challenger 2014/Second Round Matches/Niki v Devvarman,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236
Group A/Shanghai Challenger 2014/Second Round Matches/Soeda v Uchiyama,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
Group A/Shanghai Challenger 2014/Second Round Matches/T Yang v Y Bhambri,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Group A/Shanghai Challenger 2014/Second Round Matches/Udomchoke v Millman,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468
Group A/Shanghai Challenger 2014/Second Round Matches/Vanni v San Singh,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
Group A/Shanghai Challenger 2014/Semi Final Matches/Fabbiano v Yo Nishioka,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487
Group A/Shanghai Challenger 2014/Semi Final Matches/Vanni v Devvarman,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436
Group A/Shanghai Challenger 2014/The Final/Yo Nishioka v Devvarman,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409
Group A/St Remy Challenger 2014/First Round Matches/Botzer v Y Marti,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
Group A/St Remy Challenger 2014/First Round Matches/Burquier v K De Schepper,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351
