SPORTS_ID,FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY,LATITUDE,LONGITUDE,TEMPERATURE,RAIN
Basketball,WNBA 2014/Fixtures 01 September/Indiana @ Chicago,4002,284057.0,224246.032,242430.9646,1/9/14 22:53,USA,"Chicago, IL",41.8755616,-87.6244212,27.1,0
Basketball,WNBA 2014/Fixtures 02 September/Minnesota @ Phoenix,1298,65069.68,75256.3506,25319.5432,3/9/14 3:59,USA,"Phoenix, Arizona",33.4484367,-112.074141,37.9,0
Basketball,WNBA 2014/Fixtures 03 September/Chicago @ Indiana,1540,92774.7,87965.189,58837.8264,4/9/14 1:07,USA,"Indianapolis, IN",39.7683331,-86.1583502,25.3,0
Basketball,WNBA 2014/Games 07 September/Chicago @ Phoenix,274,6821.78,7114.95,3630.9224,7/9/14 21:28,USA,"Phoenix, Arizona",33.4484367,-112.074141,36.6,0
Cricket,Group C/Australia (W) v Pakistan (W) 2014/Australia (W) v Pakistan (W) (3rd T20),29,4850.0,5002.1854,0.0,3/9/14 5:25,Australia,Gold Cost,-28.00029,153.43088,20.7,0
Cricket,Group C/Australia (W) v Pakistan (W) 2014/Australia (W) v Pakistan (W) (4th T20),333,12732.88,13589.348,1295.74,5/9/14 5:44,Australia,Gold Cost,-28.00029,153.43088,20.2,0
Cricket,Group C/England (W) v South Africa (W) 2014/England (W) v South Africa (W) (1st T20),3051,422927.58,461334.5342,140002.696,1/9/14 19:49,United Kingdom,Chelmsford,51.7345329,0.4730532,16.8,1
Cricket,Group C/England (W) v South Africa (W) 2014/England (W) v South Africa (W) (2nd T20),4525,817663.38,884766.9666,239082.7282,3/9/14 20:11,United Kingdom,Chelmsford,51.7345329,0.4730532,16.6,0
Cricket,Group C/England (W) v South Africa (W) 2014/England (W) v South Africa (W) (3rd T20),8331,1149583.94,1360769.431,214493.21,7/9/14 12:21,United Kingdom,Chelmsford,51.7345329,0.4730532,17.0,1
Cricket,Group C/England (W) v South Africa (W) 2014/England (W) v South Africa (W)/England (W) 6 Over Total,261,6267.86,8136.232,4889.0562,,United Kingdom,Chelmsford,51.7345329,0.4730532,17.0,1
Cricket,Group C/England (W) v South Africa (W) 2014/England (W) v South Africa (W)/England (W) Innings Runs,1746,65905.82,51095.98,77600.9542,,United Kingdom,Chelmsford,51.7345329,0.4730532,17.0,1
Cricket,Group C/England (W) v South Africa (W) 2014/England (W) v South Africa (W)/South Africa (W) 6 Over Total,193,5704.06,8877.1788,426.4066,,United Kingdom,Chelmsford,51.7345329,0.4730532,17.0,1
Cricket,Group C/England (W) v South Africa (W) 2014/England (W) v South Africa (W)/South Africa (W) Innings Runs,468,24741.54,600.69,54283.834,,United Kingdom,Chelmsford,51.7345329,0.4730532,17.0,1
Cricket,Group C/England v India 2014/ODI Series,1613,52039.88,59489.9686,56211.2564,2/9/14 15:47,United Kingdom,Birmingham,52.4796992,-1.9026911,18.6,0
Cricket,Group C/England v India 2014/ODI Series/England v India (4th ODI),28723,14032212.02,18073395.55,2289897.548,2/9/14 12:39,United Kingdom,Birmingham,52.4796992,-1.9026911,17.8,0
Cricket,Group C/England v India 2014/ODI Series/England v India (5th ODI),66232,38423386.7,38056469.63,21523017.49,5/9/14 16:56,United Kingdom,Birmingham,52.4796992,-1.9026911,19.3,0
Cricket,Group C/England v India 2014/ODI Series/England v India/England 10 Over Total,987,29856.5,9683.4892,53032.5778,,United Kingdom,Birmingham,52.4796992,-1.9026911,19.3,0
Cricket,Group C/England v India 2014/ODI Series/England v India/England Innings Runs,10493,1274409.48,1336118.976,1454662.45,,United Kingdom,Birmingham,52.4796992,-1.9026911,19.3,0
Cricket,Group C/England v India 2014/ODI Series/England v India/England Opening Partnership,4,218.26,0.0,371.042,,United Kingdom,Birmingham,52.4796992,-1.9026911,19.3,0
Cricket,Group C/England v India 2014/ODI Series/England v India/India 10 Over Total,1372,66585.36,68421.139,72884.539,,United Kingdom,Birmingham,52.4796992,-1.9026911,19.3,0
